Code,AirportName,City,Country,latitude,longitude,geoloc,city_sky,bigger_city
LDE,LOURDES,TARBES,FRANCE,43.179,-0.006,"[43.178999999999995, -0.006]",LOUR-sky,FALSE
BVE,LA ROCHE,BRIVE,FRANCE,45.151,1.469,"[45.151, 1.469]",BRIV-sky,FALSE
PGX,BASSILLAC,PERIGUEUX,FRANCE,45.198,0.816,"[45.198, 0.816]",PERI-sky,FALSE
BIQ,ANGLET,BIARRITZ-BAYONNE,FRANCE,43.468,-1.523,"[43.468, -1.5230000000000001]",BIAR-sky,FALSE
DCM,MAZAMET,CASTRES,FRANCE,43.556,2.289,"[43.556000000000004, 2.289]",CASU-sky,FALSE
RDZ,MARCILLAC,RODEZ,FRANCE,44.408,2.482,"[44.408, 2.4819999999999998]",RODE-sky,FALSE
DLE,TAVAUX,DOLE,FRANCE,47.039,5.427,"[47.038999999999994, 5.4270000000000005]",DOLE-sky,FALSE
LPY,LOUDES,LE PUY,FRANCE,45.079,3.765,"[45.07899999999999, 3.765]",LEPU-sky,FALSE
ETZ,METZ NANCY LORRAINE,METZ,FRANCE,48.982,6.254,"[48.982, 6.254]",METZ-sky,FALSE
CMF,AIX LES BAINS,CHAMBERY,FRANCE,45.638,5.88,"[45.638000000000005, 5.88]",CHAM-sky,FALSE
CFE,AUVERGNE,CLERMONT FERRAND,FRANCE,45.786,3.169,"[45.786, 3.1689999999999996]",CLER-sky,FALSE
LYS,SAINT EXUPERY,LYON,FRANCE,45.726,5.091,"[45.726000000000006, 5.091]",LYON-sky,TRUE
NCY,MEYTHET,ANNECY,FRANCE,45.929,6.099,"[45.928999999999995, 6.099]",ANNE-sky,FALSE
GNB,SAINT GEOIRS,GRENOBLE,FRANCE,45.363,5.329,"[45.363, 5.329]",GREN-sky,FALSE
AUR,AURILLAC,AURILLAC,FRANCE,44.891,2.422,"[44.891000000000005, 2.4219999999999997]",AURI-sky,FALSE
CHR,DEOLS,CHATEAUROUX,FRANCE,46.862,1.731,"[46.861999999999995, 1.7309999999999999]",CHAT-sky,FALSE
LYN,BRON,LYON,FRANCE,45.728,4.945,"[45.728, 4.945]",LYON-sky,TRUE
QXB,AIX LES MILLES,AIX-LES-MILLES,FRANCE,43.505,5.368,"[43.505, 5.367999999999999]",AIXE-sky,FALSE
EBU,BOUTHEON,ST.-ETIENNE,FRANCE,45.54,4.296,"[45.54, 4.296]",STET-sky,FALSE
CCF,SALVAZA,CARCASSONNE,FRANCE,43.216,2.306,"[43.216, 2.306]",CARC-sky,FALSE
MRS,PROVENCE,MARSEILLE,FRANCE,43.436,5.214,"[43.43600000000001, 5.2139999999999995]",MARS-sky,TRUE
NCE,COTE D AZUR,NICE,FRANCE,43.661,7.218,"[43.661, 7.218]",NICE-sky,TRUE
PGF,RIVESALTES,PERPIGNAN,FRANCE,42.74,2.871,"[42.74, 2.8710000000000004]",PERP-sky,FALSE
MPL,MEDITERRANEE,MONTPELLIER,FRANCE,43.576,3.963,"[43.576, 3.963]",MONT-sky,FALSE
BZR,VIAS,BEZIERS,FRANCE,43.324,3.356,"[43.324, 3.3560000000000003]",BEXI-sky,FALSE
AVN,CAUMONT,AVIGNON,FRANCE,43.907,4.902,"[43.907, 4.902]",AVIG-sky,FALSE
MEN,BRENOUX,MENDE,FRANCE,44.502,3.533,"[44.501999999999995, 3.533]",MEND-sky,FALSE
BVA,TILLE,BEAUVAIS,FRANCE,49.454,2.113,"[49.45399999999999, 2.113]",PARI-sky,FALSE
TUF,VAL DE LOIRE,TOURS,FRANCE,47.432,0.728,"[47.431999999999995, 0.728]",TOUR-sky,FALSE
CDG,CHARLES DE GAULLE,PARIS,FRANCE,49.013,2.55,"[49.013000000000005, 2.55]",PARI-sky,TRUE
TNF,TOUSSUS LE NOBLE,TOUSSOUS-LE-NOBLE,FRANCE,48.752,2.106,"[48.751999999999995, 2.106]",TOUT-sky,FALSE
ORY,ORLY,PARIS,FRANCE,48.725,2.359,"[48.725, 2.359]",PARI-sky,TRUE
LIL,LESQUIN,LILLE,FRANCE,50.562,3.089,"[50.562, 3.089]",LILL-sky,FALSE
BES,GUIPAVAS,BREST,FRANCE,48.448,-4.418,"[48.448, -4.418]",BRES-sky,FALSE
DNR,PLEURTUIT,DINARD,FRANCE,48.588,-2.08,"[48.588, -2.08]",DINA-sky,FALSE
DOL,ST GATIEN,DEAUVILLE,FRANCE,49.365,0.154,"[49.365, 0.154]",DEAU-sky,FALSE
LRT,LANN BIHOUE,LORIENT,FRANCE,47.761,-3.44,"[47.761, -3.44]",LORI-sky,FALSE
CFR,CARPIQUET,CAEN,FRANCE,49.173,-0.45,"[49.173, -0.45]",CAEN-sky,FALSE
LME,ARNAGE,LE MANS,FRANCE,47.949,0.202,"[47.949, 0.20199999999999999]",LEMA-sky,FALSE
RNS,ST JACQUES,RENNES,FRANCE,48.069,-1.735,"[48.068999999999996, -1.735]",RENN-sky,FALSE
LAI,LANNION,LANNION,FRANCE,48.754,-3.471,"[48.754, -3.471]",LANN-sky,FALSE
UIP,PLUGUFFAN,QUIMPER,FRANCE,47.975,-4.168,"[47.975, -4.168]",QUIM-sky,FALSE
NTE,NANTES ATLANTIQUE,NANTES,FRANCE,47.153,-1.611,"[47.153, -1.611]",NANT-sky,TRUE
SNR,MONTOIR,ST.-NAZAIRE,FRANCE,47.312,-2.149,"[47.312, -2.149]",STNA-sky,FALSE
MLH,BALE MULHOUSE,MULHOUSE,FRANCE,47.589,7.53,"[47.589, 7.53]",MULH-sky,FALSE
RHE,CHAMPAGNE,REIMS,FRANCE,49.31,4.05,"[49.31, 4.05]",REIM-sky,FALSE
SXB,ENTZHEIM,STRASSBOURG,FRANCE,48.538,7.628,"[48.538000000000004, 7.627999999999999]",STRA-sky,FALSE
TLN,HYERES,HYERES,FRANCE,43.097,6.146,"[43.097, 6.146]",TOUL-sky,FALSE
FNI,GARONS,NIMES,FRANCE,43.757,4.416,"[43.757, 4.416]",NIME-sky,FALSE
BUD,FERIHEGY,BUDAPEST,HUNGARY,47.437,19.256,"[47.437, 19.256]",BUDA-sky,TRUE
DEB,DEBRECEN,DEBRECEN,HUNGARY,47.489,21.615,"[47.489, 21.615]",DEBR-sky,FALSE
CRV,CROTONE,CROTONE,ITALY,38.997,17.08,"[38.997, 17.08]",CORT-sky,FALSE
BRI,PALESE MACCHIE,BARI,ITALY,41.138,16.761,"[41.138000000000005, 16.761]",BARI-sky,TRUE
FOG,GINO LISA,FOGGIA,ITALY,41.433,15.535,"[41.433, 15.535]",FOGG-sky,FALSE
PSR,PESCARA,PESCARA,ITALY,42.431,14.181,"[42.431000000000004, 14.181]",PESC-sky,FALSE
BDS,CASALE,BRINDISI,ITALY,40.657,17.947,"[40.657, 17.947]",BRIN-sky,FALSE
SUF,LAMEZIA TERME,LAMEZIA,ITALY,38.906,16.242,"[38.906, 16.242]",MARA-sky,FALSE
CTA,CATANIA FONTANAROSSA,CATANIA,ITALY,37.467,15.066,"[37.467, 15.065999999999999]",CATA-sky,TRUE
